WE1_counts	WE2_counts	M1_counts	M2_counts	M3_counts
YHR091C	1132	1757	2047	1823	1270
YOL013W-A	134	100	0	0	0
YMR089C	7123	12641	9153	9863	5834
YDR345C	115193	95630	82696	109975	59627
YOR108W	17616	28364	19805	20344	13878
YJL068C	1193	2216	2714	2102	2238
YGR210C	6453	9680	6716	7155	4819
YHR179W	6094	15249	19007	24094	14963
YNL049C	2918	4662	6428	5643	4541
YKR025W	4246	4318	4182	4576	3099
YDR205W	3198	5104	4313	4056	3052
YJL108C	1727	4218	5504	4141	4485
YLR266C	1049	2120	1951	1822	1510
YPL186C	31	62	163	60	136
YLR284C	194	241	413	313	260
YPL171C	13	37	11	12	5
YKL101W	9011	10554	11757	11934	7886
YPR028W	26192	36014	55467	39426	39860
YJL035C	1315	3402	1369	1448	1137
YBL088C	2393	4495	5590	5510	3895
YHR039C-A	10201	10643	11551	9706	9112
YLR116W	1928	2535	2458	2725	1990
YER008C	10502	10363	10615	9999	7997
YDL148C	11505	10156	9121	12584	6298
YJR155W	258	281	834	1171	655
YOR177C	24	18	18	20	12
YBR177C	1647	4485	11399	6607	8165
YJL155C	704	1268	1276	1412	843
YHR067W	538	846	1171	897	869
YFR027W	252	355	370	307	233
YJL122W	8796	7214	6594	12323	5138
YGR148C	72727	69011	85318	73989	59881
YLR152C	579	3465	2370	1370	1570
YDR459C	1389	2163	1958	1851	1389
YBR111W-A	178	121	150	162	106
YLR313C	727	825	826	782	663
YNR007C	395	681	727	688	517
YJR153W	272	258	1551	1613	1248
YKL190W	1722	2483	2287	2578	1532
YKL063C	1834	1650	2251	2144	1601
YDL170W	1152	1411	1000	1009	792
YGL135W	107960	133749	225730	232786	181122
YJR044C	3737	3939	4863	4291	3634
YJR011C	345	255	486	375	387
YMR009W	1534	2752	1846	1849	1404
YNL072W	982	1376	1689	1376	1107
YFL021W	325	1041	710	472	482
YJL219W	2	4	8	4	8
YMR283C	1141	1116	1851	1948	1431
YDR090C	1441	1962	2418	2146	1526
YIL108W	1977	4693	3557	2806	2829
YER093C-A	143	245	252	160	183
YJR135W-A	2093	2823	3279	3155	2857
YMR187C	694	603	658	678	527
YOR359W	3875	3765	4247	4986	3734
YNL239W	5119	7540	9801	7983	7090
YDR410C	1553	1843	2171	2281	1645
YLL040C	3597	7885	8204	7982	5749
YCL032W	751	1177	1090	1086	877
YBR193C	572	1004	1285	1176	930
YNL240C	1670	2355	1473	1893	883
YOR002W	8494	11137	14790	12436	10841
YOR075W	773	869	1302	1252	979
YDR404C	4467	5859	7626	6631	6016
YLR352W	1617	3009	3018	2872	2291
YFR018C	2569	2963	3379	2714	2106
YJL212C	8579	12558	19657	23621	15338
YNL242W	605	1552	1238	1236	946
YNL162W-A	436	348	370	458	258
YOL090W	3177	3562	5016	5163	3695
YNL145W	18	19	9	6	6
YNR021W	25652	21304	30520	31249	18836
YBR094W	2525	2903	5767	6319	4006
YOR306C	4220	4047	2682	2188	2362
YDR527W	3694	3607	3160	4091	2681
YGR042W	779	813	584	983	436
YEL017C-A	3801	4712	4523	3366	2746
YNL093W	2	19	20	14	4
YOL001W	1138	1416	1468	1530	1194
YBL111C	12	42	0	0	0
YPL224C	1385	2392	2202	1622	1687
YLR137W	541	898	632	662	494
YPL271W	4264	8245	7137	5582	5254
YMR226C	7513	13379	11525	10435	8778
YDR531W	5731	6002	7565	8112	5394
YOL136C	3123	6332	6944	5942	5270
YLR002C	7013	5824	6434	8334	4385
YER145C	38622	43202	22089	42094	14328
YER110C	36683	49816	57564	62901	40698
YHR123W	4230	5891	6094	4845	4414
YOR304W	3765	3785	4346	4645	2876
YJR133W	2505	2473	3078	2981	2220
YHL010C	568	753	915	765	575
YMR191W	1796	4554	5526	4426	3612
YLR108C	2035	3410	1240	1333	671
YKR008W	3138	3323	4298	4224	3048
YDR226W	28241	35763	42294	40139	35600
YLR097C	819	961	1249	1176	1022
YDR108W	1627	2349	2889	3061	2214
YLR426W	1916	2469	1511	1265	1057
YDL155W	3063	3368	4039	3645	3148
YMR079W	13195	12673	20199	17391	15963
YMR126C	1352	1225	1475	1327	1096
YGL014W	8946	10816	11636	17553	8417
YML043C	3376	2729	1903	2179	1604
YLR068W	2770	1885	1713	2316	1436
YMR279C	716	1752	900	638	674
YER027C	2141	3266	4227	3593	3076
YDL013W	1307	1645	1982	1870	1490
YKR088C	4765	5215	6896	6525	5126
YMR206W	27	127	11	4	4
YOR196C	3422	4981	4464	4508	2978
YOR231W	1904	2867	2987	2538	2055
YPR036W	15928	20860	26112	22416	20491
YCR087C-A	3254	3395	1981	2955	1744
YGR235C	4790	5008	1601	1316	1100
YDR068W	1660	1511	1412	1178	970
YOL159C-A	55	145	216	266	126
YLR406C-A	3	5	0	0	0
YKL173W	2769	3464	4613	5456	3236
YLR383W	2177	2094	2719	2520	1832
YDL092W	2863	3163	3082	3177	2378
YDR469W	994	1089	1434	1232	944
YGR040W	1005	1343	1313	2196	975
YNL160W	390	1870	16604	3319	12592
YLR412C-A	15	18	2	2	0
YMR013C	2579	3811	2620	2560	1729
YDR219C	988	1364	2068	2045	1272
YCR011C	8876	14289	16327	12914	10778
YNL055C	12243	41265	38870	23610	29644
YIL134C-A	14	27	0	1	4
YFL002C	4654	4529	4777	6202	3680
YDR155C	50644	103169	120067	107566	83924
YGL181W	926	1302	1539	1433	1051
YJL176C	2978	4529	6234	8171	4027
YPL087W	2393	5270	7825	4446	5474
YPL065W	708	668	1012	879	792
YJL054W	5238	7231	6363	6958	3949
YNL335W	0	1	65	63	8
YPR154W	584	880	1356	839	879
YKL122C	2907	2287	2865	2660	2150
YAL038W	430571	325739	725050	612746	539557
YAL047C	443	283	926	789	600
YDR285W	204	249	301	233	181
YOL119C	2405	2794	2432	2527	1662
YIL169C	26623	31863	15991	13578	11156
YHR121W	2824	3598	3669	3652	2720
YJL096W	1811	2480	2791	2267	1975
YHR142W	6596	8515	7694	9313	5511
YPL129W	4009	4154	5593	5052	4185
YOL162W	0	0	0	0	0
YLR196W	14690	14473	11234	15111	8972
YJL203W	531	577	1033	1524	505
YAL065C	0	0	2	0	42
YIL147C	6530	9099	7521	8475	4800
YGL085W	743	1034	1093	938	823
YML081C-A	1688	2682	2809	2597	2383
YKL017C	804	820	1620	1346	1144
YPL201C	26	36	103	158	78
YBL018C	895	1244	975	1032	685
YDR131C	582	651	411	410	303
YHR033W	46	320	276	96	224
YEL031W	52917	83164	80424	76557	55994
YOL071W	357	729	1044	668	644
YNR053C	14171	9992	11799	15179	10286
YDL063C	10148	8581	9245	12768	7584
YNL298W	3415	4127	3756	4011	2932
YBR290W	2099	2490	2636	2433	2017
YNR075W	711	470	98	68	57
YML113W	1231	1646	1334	1426	1086
YHR202W	623	1101	3009	4082	1940
YHR008C	5133	11041	15400	15040	10419
YLR446W	1556	1594	1824	2087	1430
YFR051C	9218	11787	15317	14938	11191
YHL009W-B	0	0	0	0	0
YNR068C	68	221	174	128	96
YOL057W	6334	8221	13001	12178	9097
YFR004W	3853	4490	6144	5864	4049
YOR369C	261540	336147	299913	270943	235966
YOR025W	2247	3575	3281	2953	1942
YOR092W	2119	3449	4762	3205	2962
YML128C	391	1214	3896	1303	2576
YGL070C	2078	2635	2641	2882	2181
YGL256W	4001	4581	3343	2904	2622
YOL038C-A	17	0	0	0	6
YER184C	397	581	906	892	639
YMR107W	14	27	4	0	0
YER166W	11808	19334	14032	13688	10448
YHR015W	244	140	8	24	5
YCR027C	1048	1316	1520	1137	1071
YDL194W	494	1115	1303	1231	848
YDR422C	3666	5735	3868	3665	2696
YLR457C	611	443	649	543	449
YGL115W	4719	5934	7680	6547	5885
YMR247C	5221	9139	7243	7504	5305
YBR077C	1460	1606	2203	1702	1560
YDR176W	1810	1726	2100	1905	1450
YDR381W	12666	14993	17703	14974	12305
YGL103W	168479	201560	217878	167401	157138
YDR484W	1228	1517	2038	1940	1232
YOR207C	16402	21044	17438	22416	13686
YNL183C	2161	3535	4609	3994	3362
YGR192C	1629468	2445047	3255995	2248259	2349406
YBL045C	8283	22509	28674	23853	19664
YOR285W	12217	30417	831	621	708
YPR184W	1560	5474	4366	2108	2496
YER064C	2996	4973	5088	4577	3540
YNL218W	868	1150	1284	1328	845
YLR407W	2391	2739	3179	2390	2357
YBR088C	8935	7240	13571	13398	10551
YBR055C	2512	2490	3265	3449	2137
YOR175C	11848	10796	15467	14003	11605
YNL329C	2341	4295	3945	3862	2824
YGL028C	6383	6885	8107	15355	5558
YGR216C	3926	5331	5278	5702	3840
YNL012W	368	471	502	427	287
YPL184C	5141	6633	7108	6549	5582
YDR252W	188	327	366	300	246
YJL037W	26	22	15	11	5
YDR054C	3338	4050	4220	3610	3096
YNL316C	1696	2084	2066	2347	1732
YPR171W	1525	1715	2547	2352	1675
YKL103C	621	2265	2046	1100	1494
YLR114C	3197	4473	4193	4193	2731
YML037C	146	232	254	319	186
YLR141W	325	777	579	523	329
YDL089W	672	911	1073	1182	714
YPL159C	1037	1777	1793	1433	1399
YBR102C	1747	2314	2998	2976	2035
YDR096W	1138	2676	3606	2464	2405
YIR006C	14019	17573	18588	15940	12005
YPL046C	522	610	805	585	530
YLR315W	221	325	476	363	319
YKL196C	5732	7299	9320	8910	7503
YFR021W	1115	1966	2241	2016	1671
YNL129W	858	726	1084	792	688
YJR013W	2837	3248	4347	3746	2950
YDL176W	996	1291	1602	1587	1130
YKR027W	1483	2006	3690	3273	2832
YKL034W	2975	4632	4339	3736	3146
YKL061W	245	271	381	264	243
YJR042W	6416	8579	9696	10694	6678
YMR281W	1213	883	1666	1170	1187
YFL027C	723	1021	869	924	595
YPL133C	1015	1279	1108	988	799
YMR302C	2768	6077	6335	5428	3681
YBR230W-A	117	166	272	140	186
YMR189W	4679	12768	6619	7735	4909
YBR204C	332	371	874	640	606
YDL223C	904	1232	567	705	418
YNR023W	1412	1809	2229	2237	1648
YOL096C	628	1066	1597	1390	1144
YBR259W	1003	1311	1075	1023	824
YDR406W	894	1717	2985	1468	1981
YNL147W	2344	1740	2055	1963	1708
YBR222C	3167	9614	12537	9278	8978
YLR131C	1775	2850	2518	2883	1793
YNL091W	8730	10475	9611	9400	7570
YER025W	22994	32000	37137	36922	28924
YBR096W	4999	6612	8316	6385	5725
YHL012W	2427	2133	1239	2095	927
YNL281W	8196	11576	11256	12300	9589
YPL273W	10207	21721	17260	12324	10515
YGR015C	429	526	622	838	391
YDR037W	66254	74177	5	0	0
YGL051W	0	0	0	0	0
YER178W	25850	43111	58225	50000	43198
YOL003C	2122	2417	2607	2345	1624
YPL222W	541	1049	1605	1627	1020
YJL140W	5668	6050	8055	10503	5933
YOR320C	7319	7023	9780	9105	6274
YOL138C	1959	3110	2390	2716	1577
YDR533C	498	802	1566	1373	1152
YER147C	1049	1500	1257	1351	983
YOL038W	4892	5572	7372	6681	5420
YKL211C	4836	6041	6868	7339	5072
YLL002W	1013	1245	1688	1717	1249
YLR424W	786	851	1165	1234	842
YER043C	59772	81975	100114	77875	75338
YCL059C	8016	6636	7292	9061	5681
YLR095C	2627	3280	3347	3431	2025
YBR034C	16278	15607	17472	20745	15272
YLR040C	23	36	8	36	13
YJR063W	5354	6421	5842	6175	4761
YKR105C	0	0	14	52	4
YDL157C	2956	3372	3979	3692	2880
YJL184W	1028	1523	1058	1252	657
YDL040C	9899	11468	13927	13187	9486
YDL015C	19800	25058	21419	18730	16287
YKR086W	1930	2287	2551	2761	1746
YML041C	788	1023	1026	937	796
YER078C	3582	4464	3971	4179	2699
YMR204C	373	437	594	481	484
YML014W	1889	2346	1825	2317	1305
YKR071C	3853	5451	3263	2926	2372
YGL261C	0	6	2	0	3
YOR233W	3029	3318	3566	3859	2626
YMR179W	2196	1830	2827	2411	1755
YGR280C	7353	6121	4233	6031	3436
YGR237C	782	1345	2354	1740	1568
YEL069C	2	20	64	40	42
YKL120W	2500	2933	3796	2964	3067
YKL175W	10336	14048	11700	11864	8879
YLR381W	910	1285	2423	2088	1792
YMR011W	95750	122500	158855	75895	110497
YDL200C	387	407	443	427	272
YJR009C	184341	222486	515029	207193	368556
YER092W	1059	1613	1627	1553	1390
YLR214W	33052	18844	5532	13408	3704
YFL004W	10336	11433	11584	9722	8134
YGL183C	15	16	8	0	5
YMR153W	2862	3035	3990	4123	3003
YMR124W	3778	4064	4458	3867	3274
YDR003W-A	435	634	595	395	447
YPR103W	8667	11539	12000	10548	9434
YPL085W	7859	12298	9637	9704	6470
YPR152C	344	542	495	533	397
YJL052W	149	347	606	162	986
YOR132W	2371	3187	4679	3558	3293
YDR300C	3977	4370	5028	5824	3844
YGL087C	952	1779	1491	1067	1179
YHR007C-A	210	287	362	299	200
YPR080W	278915	394844	329594	346027	253431
YGR172C	5173	6774	5410	5331	3959
YGR105W	2207	2374	2909	3733	2225
YBR269C	407	1151	1231	831	778
YDR283C	3449	5949	4767	4829	3480
YBR192W	2092	2418	3311	3014	2172
YER007C-A	5898	5222	4933	5301	4089
YOR049C	197	331	2763	2404	1754
YBR125C	1659	1995	3629	3396	2864
YJL094C	3402	6755	5678	5939	3960
YGL043W	3699	5119	5644	5398	3710
YNL166C	1451	2175	2437	2172	1536
YAL067C	0	0	0	0	0
YIL132C	233	287	623	481	429
YIL145C	3543	3446	6562	6108	5061
YLR194C	1694	4313	3194	2006	2155
YKL015W	2128	3358	2363	3044	1750
YJR089W	1627	1829	2256	2421	1479
YPL110C	1535	2878	1582	1896	1061
YJL201W	1814	2006	3528	5035	2334
YLR146W-A	278	925	371	408	297
YKL040C	2651	3375	2743	2601	2173
YLR249W	386179	542013	643276	631695	498394
YGL158W	6	16	1965	49	2185
YOL073C	1611	1805	2350	1890	1483
YPL203W	977	1878	4582	2321	3400
YNR055C	8032	13010	11090	9354	7897
YIL014W	2976	2742	3328	3148	2200
YHR200W	4301	6204	5607	7769	3813
YDR184C	2579	2003	2675	3243	2079
YML115C	9563	10285	15617	15817	10347
YNL221C	4967	5549	6358	7306	4476
YOL055C	1359	946	1916	1574	1424
YNL108C	2613	2814	3258	3336	2289
YFR053C	89	4138	37071	6316	23537
YHL035C	4744	9688	1464	2461	966
YLR336C	7235	5804	6707	9389	5204
YFR002W	5986	7336	9705	9857	7155
YOR027W	9185	20395	16618	18593	10146
YGR023W	943	2010	1590	1315	1027
YGL258W	28	28	4	3	0
YHR100C	1324	1621	1826	1934	1256
YBR057C	1119	1030	1340	1298	991
YPL269W	813	1030	1047	839	547
YER186C	75	2132	1685	1822	1017
YER164W	6731	7607	7573	7607	4973
YER131W	43700	55241	70352	52221	48084
YCL058C	490	602	563	495	399
YBL051C	3701	6782	5620	5993	4019
YGL113W	847	1085	1064	1252	795
YGR009C	2680	2896	3580	4835	2543
YCL005W	2528	4145	2539	2590	2082
YGL105W	26451	32040	37885	35336	28268
YEL019C	131	171	537	518	364
YPR186C	1179	1349	717	766	609
YGR194C	343	952	2470	1403	1667
YDR486C	1495	2249	2313	2086	1948
YBL047C	11265	16115	26033	20026	17532
YOR315W	2559	3828	1860	1874	1375
YLL023C	4882	7909	11345	9310	8501
YMR032W	1901	2174	2270	1997	1460
YDL129W	791	713	690	1012	593
YPL099C	673	999	1302	1106	939
YGL026C	18690	27718	26246	33259	20068
YDR201W	576	743	1067	1049	806
YDR254W	926	1348	1781	1453	1282
YGR263C	1161	1155	1734	1468	1224
YNL045W	4646	7623	14147	11742	10469
YNL010W	14214	14851	17252	16596	14062
YJL222W	91	0	340	70	90
YGR214W	68920	87768	117102	92006	81055
YPR002W	221	328	412	312	248
YCR083W	709	1295	1261	1639	966
YNL310C	1082	1770	1727	1499	1324
YDR052C	2987	4081	3719	3383	2605
YPR173C	6231	6186	7521	7189	5450
YGR249W	373	220	2249	673	1709
YJL031C	1230	1368	1857	1547	1310
YDL021W	27	27	29	12	47
YLR143W	2011	2042	2282	2372	1595
YEL073C	132	370	73	33	57
YDR524W-C	39358	32447	58752	47531	39439
YDR079C-A	802	1193	956	988	680
YML035C	6270	7043	9922	9874	7119
YFL010W-A	442	509	235	211	213
YFL025C	4901	6062	6417	7367	4920
YKL009W	20667	18518	17280	20486	14377
YFL052W	48	249	313	154	89
YOR124C	4171	5658	7929	7114	4999
YJL126W	701	1075	934	1724	721
YJL159W	24658	75746	43217	47161	33096
YHR063C	3796	3657	5103	5095	3795
YPL033C	4	5	0	2	2
YCL052C	1844	2987	4698	3938	3580
YNR003C	3817	3750	4500	5351	3391
YDR376W	2562	3886	4398	4083	3221
YKL194C	1440	2512	2994	2729	1870
YFR023W	16	6	4	1	1
YNL127W	1777	2770	3228	2994	2200
YJR040W	4318	4822	6130	5865	4079
YPR119W	3145	3623	4963	5082	3420
YJR015W	3490	2684	16496	14908	11424
YHR051W	5086	10103	12894	10074	9716
YKR029C	979	1056	1710	1409	1035
YJL104W	2073	2740	2829	2558	2009
YPR010C-A	1480	2811	2697	2018	2004
YOR296W	1553	2014	1950	2040	1347
YDL174C	3820	12793	20123	11903	14829
YMR194C-B	235	327	112	91	78
YDL103C	2865	3263	5190	4477	3663
YMR287C	1380	2304	2423	2466	1450
YBR220C	3858	4748	4962	5135	3384
YPL131W	289173	390719	378658	357711	303218
YIL115C	7645	9664	10174	11102	6643
YOL101C	969	332	586	425	639
YJL088W	425	185	224	134	178
YHR158C	2562	2500	4411	6259	2739
YKL033W-A	7861	10491	10295	8776	8063
YGR155W	29011	39809	58475	60363	45118
YMR300C	15206	18055	22482	21517	16054
YFR049W	1166	2087	1352	911	1000
YBL028C	3032	4121	4035	4366	2875
YKL089W	1108	1213	1342	1200	923
YOR006C	3104	2841	2802	3254	2166
YLR277C	2333	2557	3923	4216	2731
YOR028C	118	390	2136	1924	979
YNL333W	0	0	10	18	29
YAL002W	1577	1095	2577	2099	1830
YHR018C	1914	4427	2208	1737	1835
YDR408C	5971	7875	8578	8415	6778
YPL067C	483	992	583	414	366
YKR035W-A	1683	2188	1946	1833	1540
YNL141W	20643	14763	14876	16609	11612
YKR090W	1721	4323	3001	2595	2037
YMR220W	7652	10296	12152	11381	8057
YOL097W-A	117	136	106	187	101
YOR308C	1205	1490	1421	1633	1133
YDR523C	230	465	99	179	85
YPL220W	78886	96254	104071	102777	80835
YOR268C	8	8	2	0	6
YGR017W	4454	4469	4456	5932	3166
YDR031W	263	526	951	860	739
YOL005C	2330	3630	2814	2542	1958
YOR213C	990	1078	1357	1547	1166
YEL050C	4314	7727	7558	7335	5708
YGL224C	1562	2169	3599	3195	2630
YNL268W	35612	37754	10787	9768	8579
YER141W	6155	14721	14436	8830	9992
YKL213C	3436	4508	6913	5507	4849
YPR159C-A	0	0	0	0	0
YNL210W	379	392	417	317	239
YCL064C	16496	10479	862	1139	671
YML029W	2589	3960	4411	4143	3259
YDL222C	104	269	116	128	54
YCR048W	4043	5414	4188	4068	2805
YCR033W	5213	6608	5700	5005	3932
YDR104C	1051	1590	1997	2271	1425
YDR222W	1463	1596	2154	3076	1692
YBL039W-B	140	126	135	88	85
YLR042C	14	46	66	115	2
YIR039C	0	4	367	248	292
YKR059W	18900	32811	56338	55325	46968
YNL202W	268	453	178	361	166
YJL186W	11340	14021	13096	24279	8803
YER023W	10726	16245	21705	18197	16332
YDR399W	29663	30640	34739	33450	27683
YML016C	4763	6464	5894	6497	4197
YOR388C	80	91	50	74	10
YLR133W	565	1038	1908	1193	1324
YDL017W	1057	1171	1325	1263	947
YJR142W	1405	1473	2487	1964	1745
YGL263W	1067	721	1129	974	708
YKL183C-A	140	1	76	67	41
YGR282C	85174	168777	116269	84806	81254
YJL005W	8107	10342	12988	9006	8869
YJL050W	17341	17538	20184	25216	15562
YDR170W-A	105	189	158	132	152
YDR248C	467	1045	1046	868	790
YDL202W	1383	1849	2629	2842	1825
YML083C	28	95	30	15	8
YLR216C	5949	9429	14333	13871	9423
YMR017W	45	151	33	26	23
YER090W	11146	13364	11561	12765	8316
YCR015C	533	426	847	801	658
YDR159W	3150	3726	4163	4103	2932
YGL185C	576	799	404	448	377
YOR165W	5238	6544	12618	11735	8576
YDR169C-A	1	3	2	2	1
YPR105C	2816	3544	5315	5107	3810
YOR130C	970	1091	1463	1204	1026
YPL083C	1133	1183	2510	2486	1739
YDR357C	505	556	592	486	457
YJL109C	24243	30933	30600	40947	23050
YJR021C	301	462	495	364	316
YLR369W	1648	2661	3430	3534	2317
YDR097C	4426	4543	5966	5894	4214
YGR170W	2131	3779	3662	3580	2526
YOL148C	1121	1368	1975	1859	1263
YPR082C	1454	1709	1892	1760	1589
YJR129C	1077	1060	1155	1434	887
YDR281C	206	89	79	117	34
YGL203C	7074	6511	6309	7216	4050
YBR127C	32536	37114	47439	41143	39497
YOR047C	1966	2219	2793	2797	2136
YAL061W	250	365	2535	1078	2002
YNL164C	1519	1370	1867	2123	1509
YDR368W	3183	3371	5087	3779	4213
YMR299C	767	993	1232	1033	815
YLR234W	342	531	264	322	101
YLR192C	13531	17767	15540	15741	10803
YBR149W	8903	13306	18448	13185	13604
YDR088C	622	869	779	780	577
YCR020C-A	1250	1462	963	867	715
YKL042W	1085	1125	1608	1358	1112
YNL066W	10462	13677	9557	8375	6860
YPL112C	3967	4366	3214	3676	2287
YKL013C	4204	5667	7015	6061	5441
YIL016W	4170	4647	4330	4503	3220
YOL028C	920	1485	423	467	285
YNR057C	237	269	229	253	141
YDR186C	2817	4727	3666	3945	2739
YML117W	4135	7090	8334	7361	5859
YHR206W	4239	5455	6221	9433	4697
YOL122C	10202	11581	8480	7144	5535
YNL223W	385	609	814	652	619
YOL053W	399	826	773	682	515
YFR055W	915	2951	23332	25491	20216
YIL030C	20281	28257	22046	25065	15753
YGR027W-B	0	0	0	0	0
YLR442C	2070	2440	2564	2434	1723
YJR103W	2123	3235	3532	3154	2621
YLR343W	166	650	267	269	250
YOR021C	8429	7824	7692	9287	6068
YER133W	10178	11492	15908	14619	11642
YER162C	676	781	1402	1425	1025
YDL190C	4010	4942	9935	9439	7094
YHR102W	1461	2703	3907	3754	2837
YMR243C	54056	56308	35911	32211	23761
YGL111W	7198	6919	7241	8769	5373
YHR139C	4	75	88	71	32
YPR188C	1722	2083	2398	2397	1920
YNL284C-B	0	0	0	0	0
YOR374W	644	3330	49655	6639	39237
YLL025W	56	84	124	105	102
YGR196C	1653	2161	1055	1011	701
YLR281C	86	221	71	54	42
YBL049W	173	223	261	273	229
YER057C	4196	5651	7800	5804	5786
YKR010C	1843	2066	2084	2226	1594
YMR034C	470	1018	475	469	361
YLR085C	1622	2286	2385	2242	1851
YOR179C	676	1065	641	602	485
YCR081W	1059	1806	2228	2482	1694
YCL017C	9766	17245	13917	13472	9907
YPR004C	6224	11100	11710	10825	8745
YGR261C	5120	6376	8418	7974	6381
YGR180C	21261	28501	16683	12925	12041
YJL019W	1332	1619	1922	1927	1417
YMR116C	223795	439287	376121	328373	296266
YNL047C	1272	1684	1465	1813	1264
YDR256C	1686	2315	1879	1922	1442
YGL030W	138652	177813	154999	198381	135829
YJL033W	11923	9828	9373	14008	6706
YOR182C	65040	65673	68328	53577	52054
YDR050C	192077	223913	331246	242865	251496
YGR061C	53835	85728	83506	125690	62871
YGR035W-A	419	402	148	127	79
YOR153W	56144	104609	41253	45318	29119
YPL241C	1261	1325	1176	1038	898
YLR145W	928	797	884	852	660
YPR022C	2552	3956	4607	4724	3463
YLR110C	231334	495303	518476	316687	331934
YEL071W	16722	14086	20653	12669	15046
YML062C	1622	1671	1709	1859	1357
YER138W-A	0	0	0	0	0
YFL050C	1091	1026	1226	1252	831
YBR106W	42202	39684	49806	46362	38247
YBL093C	1722	1723	2196	1698	1648
YLR390W-A	25520	54694	27649	21230	18114
YLR064W	6836	6096	9442	7858	6624
YNL078W	1008	2310	1123	1014	826
YJL124C	4968	4950	6533	10017	5236
YPR131C	887	1634	2097	1644	1543
YKL143W	6323	4848	5785	8099	4401
YPL031C	2453	4761	4342	3597	3716
YHR061C	748	1229	1364	1135	1046
YDR453C	164	228	248	253	227
YNL125C	1800	5089	9073	5707	5804
YDR321W	18457	22705	14980	14973	11248
YNR001C	4134	13980	18779	8940	12471
YNL178W	280711	346130	315949	314295	263209
YDR167W	2265	2919	2538	2822	2180
YJR017C	1769	3422	3310	2538	2289
YPL180W	1237	1911	2270	2328	1505
YHR057C	2194	2594	3231	3159	2440
YCL014W	3053	4455	4281	4547	3187
YJL106W	473	613	110	104	108
YLL055W	735	1002	494	435	375
YDL101C	1487	1624	2982	2521	1931
YBL100W-C	4	8	9	7	5
YBL100W-B	122	1	0	0	0
YMR285C	2632	2482	2929	3318	2143
YLL018C-A	271	400	536	482	425
YIL117C	733	570	4	2	2
YAL055W	70	42	81	88	73
YPL137C	5863	11132	11558	8094	9232
YOL103W	11326	11519	12146	13454	8393
YHR156C	693	876	752	1039	617
YGR157W	11930	21373	18632	13479	13610
YGL168W	2547	2614	1993	1597	1638
YBR168W	726	965	1064	956	769
YMR306W	690	1201	653	1129	383
YMR070W	1731	3117	3027	2417	1937
YHR162W	25371	27930	24397	24000	18369
YLR275W	647	606	718	716	623
YOR004W	6917	5540	4558	6399	3851
YOR138C	1857	2579	2428	2244	1700
YDL227C	71	0	12	42	24
YGL093W	1773	2177	2635	2227	1913
YKL215C	1113	2833	2206	2126	1357
YCR066W	484	542	828	853	574
YDR334W	5212	7328	6664	6173	4702
YBR288C	2813	3061	4989	4827	3563
YKR092C	8276	8352	6016	8316	4630
YMR222C	1082	2161	1886	1449	1375
YPL277C	501	792	18	18	24
YOR211C	2774	3547	3733	4274	2442
YDR033W	11251	3713	56300	29345	43521
YGL226W	269	491	673	561	522
YOR324C	1152	1493	1134	1173	829
YAR020C	52	36	38	28	30
YOR353C	2212	3173	2330	2286	1755
YHL025W	1178	1657	1823	1334	1242
YGR037C	5868	7469	11265	14571	8883
YER143W	1394	2386	2462	2282	1756
YNL321W	5056	11189	9013	7973	5969
YGR284C	12624	17323	22357	18635	16376
YCR031C	150742	214574	224006	168316	165255
YPR069C	23309	22629	21578	20257	15466
YLL006W	1031	1474	2269	1989	1587
YOR237W	160	66	35	36	36
YIL049W	684	785	1801	1804	1247
YMR175W	12	17	14	17	15
YBR030W	1960	2188	1965	2119	1444
YLR440C	2615	3061	4121	4085	2941
YLR044C	1170858	1676788	1714385	1574879	1107633
YBR065C	420	574	905	1069	577
YLR099C	923	2577	1187	996	1159
YOR149C	2722	3246	3704	4015	2555
YOR298C-A	9614	21682	18105	14851	10786
YOL007C	4503	3632	5674	5905	4075
YDR429C	20139	21215	21485	21355	16884
YML010W	7144	10428	10044	11416	6376
YER074W	81198	101966	75717	72275	62639
YER021W	7359	8864	13084	13094	9353
YMR208W	3988	3930	6270	6144	4441
YEL052W	2414	5226	5219	4312	4239
YJL180C	1291	2118	3060	3756	2039
YNL200C	299	561	901	381	670
YER129W	3463	4379	5976	6404	4280
YKR082W	4334	5250	8267	9135	6010
YGR089W	7062	5887	7565	13394	4892
YLR019W	2759	5862	5678	4020	4588
YPL081W	10425	18854	12781	18568	8894
YDR351W	2952	3992	4714	4549	3493
YMR188C	1195	1553	2145	1894	1467
YDL045W-A	1481	1938	559	470	412
YLR210W	562	802	1148	1142	901
YDL204W	946	2013	589	298	381
YKR031C	2354	4007	3797	3857	2781
YML081W	6422	10290	7113	7519	5777
YHR181W	4307	5085	4704	6603	3475
YER096W	118	321	410	823	277
YMR128W	12629	10189	8802	12762	6806
YJL029C	3436	4665	4124	4232	3166
YGL130W	1619	2494	3121	3472	2339
YMR157C	1254	2306	2274	1932	1691
YCL005W-A	2282	2400	2144	1867	1696
YCR017C	16742	25743	21061	19636	14899
YBL072C	49012	58705	135982	134645	110971
YGL187C	3369	9022	15531	10708	11084
YJR082C	706	848	1132	1053	875
YMR048W	754	625	554	329	305
YOR167C	76853	88589	82101	81066	66976
YPR107C	751	984	1033	909	783
